tmpambiente,humedad,luz,tmpagua,timestamp,email,deviceid
9,27,47,6,2023-04-01 00:00:00,rodrinoya.1@gmail.com,htd2
10,25,58,7,2023-04-01 01:00:00,rodrinoya.1@gmail.com,htd2
11,28,37,10,2023-04-01 02:00:00,rodrinoya.1@gmail.com,htd2
12,29,42,11,2023-04-01 03:00:00,rodrinoya.1@gmail.com,htd2
14,29,52,10,2023-04-01 04:00:00,rodrinoya.1@gmail.com,htd2
13,28,61,13,2023-04-01 05:00:00,rodrinoya.1@gmail.com,htd2
15,29,60,14,2023-04-01 06:00:00,rodrinoya.1@gmail.com,htd2
17,31,45,14,2023-04-01 07:00:00,rodrinoya.1@gmail.com,htd2
17,30,205,15,2023-04-01 08:00:00,rodrinoya.1@gmail.com,htd2
17,29,221,17,2023-04-01 09:00:00,rodrinoya.1@gmail.com,htd2
19,32,252,18,2023-04-01 10:00:00,rodrinoya.1@gmail.com,htd2
20,33,259,17,2023-04-01 11:00:00,rodrinoya.1@gmail.com,htd2
21,32,285,19,2023-04-01 12:00:00,rodrinoya.1@gmail.com,htd2
19,33,311,17,2023-04-01 13:00:00,rodrinoya.1@gmail.com,htd2
18,30,327,17,2023-04-01 14:00:00,rodrinoya.1@gmail.com,htd2
19,29,344,17,2023-04-01 15:00:00,rodrinoya.1@gmail.com,htd2
16,31,377,14,2023-04-01 16:00:00,rodrinoya.1@gmail.com,htd2
16,31,380,15,2023-04-01 17:00:00,rodrinoya.1@gmail.com,htd2
14,28,409,12,2023-04-01 18:00:00,rodrinoya.1@gmail.com,htd2
14,27,62,12,2023-04-01 19:00:00,rodrinoya.1@gmail.com,htd2
14,29,78,11,2023-04-01 20:00:00,rodrinoya.1@gmail.com,htd2
12,27,73,10,2023-04-01 21:00:00,rodrinoya.1@gmail.com,htd2
12,27,67,8,2023-04-01 22:00:00,rodrinoya.1@gmail.com,htd2
10,25,82,8,2023-04-01 23:00:00,rodrinoya.1@gmail.com,htd2
10,25,56,8,2023-04-02 00:00:00,rodrinoya.1@gmail.com,htd2
11,25,47,9,2023-04-02 01:00:00,rodrinoya.1@gmail.com,htd2
12,27,58,9,2023-04-02 02:00:00,rodrinoya.1@gmail.com,htd2
11,27,52,9,2023-04-02 03:00:00,rodrinoya.1@gmail.com,htd2
13,29,53,12,2023-04-02 04:00:00,rodrinoya.1@gmail.com,htd2
14,27,43,12,2023-04-02 05:00:00,rodrinoya.1@gmail.com,htd2
16,30,47,13,2023-04-02 06:00:00,rodrinoya.1@gmail.com,htd2
15,30,52,15,2023-04-02 07:00:00,rodrinoya.1@gmail.com,htd2
16,29,211,16,2023-04-02 08:00:00,rodrinoya.1@gmail.com,htd2
17,31,227,16,2023-04-02 09:00:00,rodrinoya.1@gmail.com,htd2
18,31,258,17,2023-04-02 10:00:00,rodrinoya.1@gmail.com,htd2
20,31,271,19,2023-04-02 11:00:00,rodrinoya.1@gmail.com,htd2
22,33,293,20,2023-04-02 12:00:00,rodrinoya.1@gmail.com,htd2
19,31,315,19,2023-04-02 13:00:00,rodrinoya.1@gmail.com,htd2
19,32,316,18,2023-04-02 14:00:00,rodrinoya.1@gmail.com,htd2
17,30,343,15,2023-04-02 15:00:00,rodrinoya.1@gmail.com,htd2
17,31,358,15,2023-04-02 16:00:00,rodrinoya.1@gmail.com,htd2
15,29,380,15,2023-04-02 17:00:00,rodrinoya.1@gmail.com,htd2
14,29,395,13,2023-04-02 18:00:00,rodrinoya.1@gmail.com,htd2
14,27,59,11,2023-04-02 19:00:00,rodrinoya.1@gmail.com,htd2
14,27,74,12,2023-04-02 20:00:00,rodrinoya.1@gmail.com,htd2
12,29,78,11,2023-04-02 21:00:00,rodrinoya.1@gmail.com,htd2
10,28,65,8,2023-04-02 22:00:00,rodrinoya.1@gmail.com,htd2
10,26,74,7,2023-04-02 23:00:00,rodrinoya.1@gmail.com,htd2
8,26,53,8,2023-04-03 00:00:00,rodrinoya.1@gmail.com,htd2
11,26,57,8,2023-04-03 01:00:00,rodrinoya.1@gmail.com,htd2
10,26,47,9,2023-04-03 02:00:00,rodrinoya.1@gmail.com,htd2
11,28,47,11,2023-04-03 03:00:00,rodrinoya.1@gmail.com,htd2
14,29,59,10,2023-04-03 04:00:00,rodrinoya.1@gmail.com,htd2
14,29,41,11,2023-04-03 05:00:00,rodrinoya.1@gmail.com,htd2
14,29,45,14,2023-04-03 06:00:00,rodrinoya.1@gmail.com,htd2
17,31,50,13,2023-04-03 07:00:00,rodrinoya.1@gmail.com,htd2
16,31,197,14,2023-04-03 08:00:00,rodrinoya.1@gmail.com,htd2
19,30,228,15,2023-04-03 09:00:00,rodrinoya.1@gmail.com,htd2
18,32,247,17,2023-04-03 10:00:00,rodrinoya.1@gmail.com,htd2
21,31,268,17,2023-04-03 11:00:00,rodrinoya.1@gmail.com,htd2
21,31,283,20,2023-04-03 12:00:00,rodrinoya.1@gmail.com,htd2
20,31,320,17,2023-04-03 13:00:00,rodrinoya.1@gmail.com,htd2
20,30,338,17,2023-04-03 14:00:00,rodrinoya.1@gmail.com,htd2
17,31,343,16,2023-04-03 15:00:00,rodrinoya.1@gmail.com,htd2
17,30,379,14,2023-04-03 16:00:00,rodrinoya.1@gmail.com,htd2
17,31,391,14,2023-04-03 17:00:00,rodrinoya.1@gmail.com,htd2
14,28,414,13,2023-04-03 18:00:00,rodrinoya.1@gmail.com,htd2
13,27,58,12,2023-04-03 19:00:00,rodrinoya.1@gmail.com,htd2
14,29,74,10,2023-04-03 20:00:00,rodrinoya.1@gmail.com,htd2
12,27,66,10,2023-04-03 21:00:00,rodrinoya.1@gmail.com,htd2
11,28,63,9,2023-04-03 22:00:00,rodrinoya.1@gmail.com,htd2
9,25,69,8,2023-04-03 23:00:00,rodrinoya.1@gmail.com,htd2
8,27,43,7,2023-04-04 00:00:00,rodrinoya.1@gmail.com,htd2
11,26,53,9,2023-04-04 01:00:00,rodrinoya.1@gmail.com,htd2
11,26,38,8,2023-04-04 02:00:00,rodrinoya.1@gmail.com,htd2
13,27,46,9,2023-04-04 03:00:00,rodrinoya.1@gmail.com,htd2
13,28,55,11,2023-04-04 04:00:00,rodrinoya.1@gmail.com,htd2
14,27,49,13,2023-04-04 05:00:00,rodrinoya.1@gmail.com,htd2
14,29,66,12,2023-04-04 06:00:00,rodrinoya.1@gmail.com,htd2
16,30,42,15,2023-04-04 07:00:00,rodrinoya.1@gmail.com,htd2
16,30,215,15,2023-04-04 08:00:00,rodrinoya.1@gmail.com,htd2
19,30,232,17,2023-04-04 09:00:00,rodrinoya.1@gmail.com,htd2
20,30,246,17,2023-04-04 10:00:00,rodrinoya.1@gmail.com,htd2
20,31,269,18,2023-04-04 11:00:00,rodrinoya.1@gmail.com,htd2
22,31,276,18,2023-04-04 12:00:00,rodrinoya.1@gmail.com,htd2
21,33,305,17,2023-04-04 13:00:00,rodrinoya.1@gmail.com,htd2
20,31,325,18,2023-04-04 14:00:00,rodrinoya.1@gmail.com,htd2
19,30,343,15,2023-04-04 15:00:00,rodrinoya.1@gmail.com,htd2
17,31,375,14,2023-04-04 16:00:00,rodrinoya.1@gmail.com,htd2
15,30,375,14,2023-04-04 17:00:00,rodrinoya.1@gmail.com,htd2
15,29,415,14,2023-04-04 18:00:00,rodrinoya.1@gmail.com,htd2
13,28,56,11,2023-04-04 19:00:00,rodrinoya.1@gmail.com,htd2
12,29,56,12,2023-04-04 20:00:00,rodrinoya.1@gmail.com,htd2
11,28,77,11,2023-04-04 21:00:00,rodrinoya.1@gmail.com,htd2
12,27,66,10,2023-04-04 22:00:00,rodrinoya.1@gmail.com,htd2
9,26,69,7,2023-04-04 23:00:00,rodrinoya.1@gmail.com,htd2
10,26,37,7,2023-04-05 00:00:00,rodrinoya.1@gmail.com,htd2
11,25,52,9,2023-04-05 01:00:00,rodrinoya.1@gmail.com,htd2
11,28,60,8,2023-04-05 02:00:00,rodrinoya.1@gmail.com,htd2
13,29,40,10,2023-04-05 03:00:00,rodrinoya.1@gmail.com,htd2
12,29,62,11,2023-04-05 04:00:00,rodrinoya.1@gmail.com,htd2
14,28,48,11,2023-04-05 05:00:00,rodrinoya.1@gmail.com,htd2
15,29,43,14,2023-04-05 06:00:00,rodrinoya.1@gmail.com,htd2
16,30,47,15,2023-04-05 07:00:00,rodrinoya.1@gmail.com,htd2
17,29,219,16,2023-04-05 08:00:00,rodrinoya.1@gmail.com,htd2
17,29,228,16,2023-04-05 09:00:00,rodrinoya.1@gmail.com,htd2
18,32,244,16,2023-04-05 10:00:00,rodrinoya.1@gmail.com,htd2
20,31,263,17,2023-04-05 11:00:00,rodrinoya.1@gmail.com,htd2
21,33,276,19,2023-04-05 12:00:00,rodrinoya.1@gmail.com,htd2
21,31,313,19,2023-04-05 13:00:00,rodrinoya.1@gmail.com,htd2
18,31,332,17,2023-04-05 14:00:00,rodrinoya.1@gmail.com,htd2
18,31,356,16,2023-04-05 15:00:00,rodrinoya.1@gmail.com,htd2
18,31,378,14,2023-04-05 16:00:00,rodrinoya.1@gmail.com,htd2
16,29,387,14,2023-04-05 17:00:00,rodrinoya.1@gmail.com,htd2
16,29,412,13,2023-04-05 18:00:00,rodrinoya.1@gmail.com,htd2
15,27,70,12,2023-04-05 19:00:00,rodrinoya.1@gmail.com,htd2
12,29,58,10,2023-04-05 20:00:00,rodrinoya.1@gmail.com,htd2
13,27,60,11,2023-04-05 21:00:00,rodrinoya.1@gmail.com,htd2
10,28,58,9,2023-04-05 22:00:00,rodrinoya.1@gmail.com,htd2
10,26,67,9,2023-04-05 23:00:00,rodrinoya.1@gmail.com,htd2
9,26,45,7,2023-04-06 00:00:00,rodrinoya.1@gmail.com,htd2
11,25,36,9,2023-04-06 01:00:00,rodrinoya.1@gmail.com,htd2
12,27,50,9,2023-04-06 02:00:00,rodrinoya.1@gmail.com,htd2
13,27,38,11,2023-04-06 03:00:00,rodrinoya.1@gmail.com,htd2
12,28,61,12,2023-04-06 04:00:00,rodrinoya.1@gmail.com,htd2
13,28,63,12,2023-04-06 05:00:00,rodrinoya.1@gmail.com,htd2
15,30,62,14,2023-04-06 06:00:00,rodrinoya.1@gmail.com,htd2
17,31,62,15,2023-04-06 07:00:00,rodrinoya.1@gmail.com,htd2
16,30,205,14,2023-04-06 08:00:00,rodrinoya.1@gmail.com,htd2
18,29,222,17,2023-04-06 09:00:00,rodrinoya.1@gmail.com,htd2
18,31,247,17,2023-04-06 10:00:00,rodrinoya.1@gmail.com,htd2
21,33,271,17,2023-04-06 11:00:00,rodrinoya.1@gmail.com,htd2
22,33,297,19,2023-04-06 12:00:00,rodrinoya.1@gmail.com,htd2
20,32,312,18,2023-04-06 13:00:00,rodrinoya.1@gmail.com,htd2
19,32,321,18,2023-04-06 14:00:00,rodrinoya.1@gmail.com,htd2
17,31,356,16,2023-04-06 15:00:00,rodrinoya.1@gmail.com,htd2
18,31,360,16,2023-04-06 16:00:00,rodrinoya.1@gmail.com,htd2
16,31,386,14,2023-04-06 17:00:00,rodrinoya.1@gmail.com,htd2
15,29,406,12,2023-04-06 18:00:00,rodrinoya.1@gmail.com,htd2
14,29,72,12,2023-04-06 19:00:00,rodrinoya.1@gmail.com,htd2
14,29,69,12,2023-04-06 20:00:00,rodrinoya.1@gmail.com,htd2
12,28,67,10,2023-04-06 21:00:00,rodrinoya.1@gmail.com,htd2
10,27,69,9,2023-04-06 22:00:00,rodrinoya.1@gmail.com,htd2
9,26,59,9,2023-04-06 23:00:00,rodrinoya.1@gmail.com,htd2
8,26,60,6,2023-04-07 00:00:00,rodrinoya.1@gmail.com,htd2
9,25,41,8,2023-04-07 01:00:00,rodrinoya.1@gmail.com,htd2
11,26,57,10,2023-04-07 02:00:00,rodrinoya.1@gmail.com,htd2
13,27,59,10,2023-04-07 03:00:00,rodrinoya.1@gmail.com,htd2
13,27,59,12,2023-04-07 04:00:00,rodrinoya.1@gmail.com,htd2
13,28,54,11,2023-04-07 05:00:00,rodrinoya.1@gmail.com,htd2
15,28,46,13,2023-04-07 06:00:00,rodrinoya.1@gmail.com,htd2
16,29,57,15,2023-04-07 07:00:00,rodrinoya.1@gmail.com,htd2
17,31,196,15,2023-04-07 08:00:00,rodrinoya.1@gmail.com,htd2
18,31,223,16,2023-04-07 09:00:00,rodrinoya.1@gmail.com,htd2
19,30,250,17,2023-04-07 10:00:00,rodrinoya.1@gmail.com,htd2
20,32,276,18,2023-04-07 11:00:00,rodrinoya.1@gmail.com,htd2
21,33,277,20,2023-04-07 12:00:00,rodrinoya.1@gmail.com,htd2
19,33,317,19,2023-04-07 13:00:00,rodrinoya.1@gmail.com,htd2
20,31,317,17,2023-04-07 14:00:00,rodrinoya.1@gmail.com,htd2
19,30,351,16,2023-04-07 15:00:00,rodrinoya.1@gmail.com,htd2
18,30,371,14,2023-04-07 16:00:00,rodrinoya.1@gmail.com,htd2
15,30,398,14,2023-04-07 17:00:00,rodrinoya.1@gmail.com,htd2
15,29,414,14,2023-04-07 18:00:00,rodrinoya.1@gmail.com,htd2
14,28,59,13,2023-04-07 19:00:00,rodrinoya.1@gmail.com,htd2
14,29,72,11,2023-04-07 20:00:00,rodrinoya.1@gmail.com,htd2
12,29,81,9,2023-04-07 21:00:00,rodrinoya.1@gmail.com,htd2
11,28,59,8,2023-04-07 22:00:00,rodrinoya.1@gmail.com,htd2
10,25,70,9,2023-04-07 23:00:00,rodrinoya.1@gmail.com,htd2
8,27,52,7,2023-04-08 00:00:00,rodrinoya.1@gmail.com,htd2
9,25,54,7,2023-04-08 01:00:00,rodrinoya.1@gmail.com,htd2
11,27,38,10,2023-04-08 02:00:00,rodrinoya.1@gmail.com,htd2
12,28,56,9,2023-04-08 03:00:00,rodrinoya.1@gmail.com,htd2
12,27,64,10,2023-04-08 04:00:00,rodrinoya.1@gmail.com,htd2
15,28,43,12,2023-04-08 05:00:00,rodrinoya.1@gmail.com,htd2
16,28,41,14,2023-04-08 06:00:00,rodrinoya.1@gmail.com,htd2
15,31,48,15,2023-04-08 07:00:00,rodrinoya.1@gmail.com,htd2
18,30,197,15,2023-04-08 08:00:00,rodrinoya.1@gmail.com,htd2
18,29,228,15,2023-04-08 09:00:00,rodrinoya.1@gmail.com,htd2
19,31,240,18,2023-04-08 10:00:00,rodrinoya.1@gmail.com,htd2
21,31,258,17,2023-04-08 11:00:00,rodrinoya.1@gmail.com,htd2
22,33,290,19,2023-04-08 12:00:00,rodrinoya.1@gmail.com,htd2
19,31,303,18,2023-04-08 13:00:00,rodrinoya.1@gmail.com,htd2
19,31,336,16,2023-04-08 14:00:00,rodrinoya.1@gmail.com,htd2
17,29,346,16,2023-04-08 15:00:00,rodrinoya.1@gmail.com,htd2
16,31,358,16,2023-04-08 16:00:00,rodrinoya.1@gmail.com,htd2
16,30,381,15,2023-04-08 17:00:00,rodrinoya.1@gmail.com,htd2
15,30,420,14,2023-04-08 18:00:00,rodrinoya.1@gmail.com,htd2
13,28,55,11,2023-04-08 19:00:00,rodrinoya.1@gmail.com,htd2
13,29,65,11,2023-04-08 20:00:00,rodrinoya.1@gmail.com,htd2
11,29,74,11,2023-04-08 21:00:00,rodrinoya.1@gmail.com,htd2
12,27,65,9,2023-04-08 22:00:00,rodrinoya.1@gmail.com,htd2
11,25,58,7,2023-04-08 23:00:00,rodrinoya.1@gmail.com,htd2
8,27,54,7,2023-04-09 00:00:00,rodrinoya.1@gmail.com,htd2
10,26,36,9,2023-04-09 01:00:00,rodrinoya.1@gmail.com,htd2
11,26,42,10,2023-04-09 02:00:00,rodrinoya.1@gmail.com,htd2
13,29,51,10,2023-04-09 03:00:00,rodrinoya.1@gmail.com,htd2
12,29,64,12,2023-04-09 04:00:00,rodrinoya.1@gmail.com,htd2
14,28,62,11,2023-04-09 05:00:00,rodrinoya.1@gmail.com,htd2
15,28,43,12,2023-04-09 06:00:00,rodrinoya.1@gmail.com,htd2
15,29,66,13,2023-04-09 07:00:00,rodrinoya.1@gmail.com,htd2
18,29,201,15,2023-04-09 08:00:00,rodrinoya.1@gmail.com,htd2
18,29,225,17,2023-04-09 09:00:00,rodrinoya.1@gmail.com,htd2
20,31,259,17,2023-04-09 10:00:00,rodrinoya.1@gmail.com,htd2
20,33,264,19,2023-04-09 11:00:00,rodrinoya.1@gmail.com,htd2
21,33,282,18,2023-04-09 12:00:00,rodrinoya.1@gmail.com,htd2
21,32,298,19,2023-04-09 13:00:00,rodrinoya.1@gmail.com,htd2
20,30,326,17,2023-04-09 14:00:00,rodrinoya.1@gmail.com,htd2
17,30,335,16,2023-04-09 15:00:00,rodrinoya.1@gmail.com,htd2
18,30,365,14,2023-04-09 16:00:00,rodrinoya.1@gmail.com,htd2
16,29,380,13,2023-04-09 17:00:00,rodrinoya.1@gmail.com,htd2
16,29,411,12,2023-04-09 18:00:00,rodrinoya.1@gmail.com,htd2
13,28,61,11,2023-04-09 19:00:00,rodrinoya.1@gmail.com,htd2
14,29,58,12,2023-04-09 20:00:00,rodrinoya.1@gmail.com,htd2
11,29,73,11,2023-04-09 21:00:00,rodrinoya.1@gmail.com,htd2
10,26,78,10,2023-04-09 22:00:00,rodrinoya.1@gmail.com,htd2
10,27,62,8,2023-04-09 23:00:00,rodrinoya.1@gmail.com,htd2
10,27,53,6,2023-04-10 00:00:00,rodrinoya.1@gmail.com,htd2
11,27,59,7,2023-04-10 01:00:00,rodrinoya.1@gmail.com,htd2
11,26,47,9,2023-04-10 02:00:00,rodrinoya.1@gmail.com,htd2
13,28,55,9,2023-04-10 03:00:00,rodrinoya.1@gmail.com,htd2
12,27,56,10,2023-04-10 04:00:00,rodrinoya.1@gmail.com,htd2
13,28,52,13,2023-04-10 05:00:00,rodrinoya.1@gmail.com,htd2
14,30,50,12,2023-04-10 06:00:00,rodrinoya.1@gmail.com,htd2
16,29,65,13,2023-04-10 07:00:00,rodrinoya.1@gmail.com,htd2
18,30,218,14,2023-04-10 08:00:00,rodrinoya.1@gmail.com,htd2
18,30,228,16,2023-04-10 09:00:00,rodrinoya.1@gmail.com,htd2
19,30,240,17,2023-04-10 10:00:00,rodrinoya.1@gmail.com,htd2
20,31,258,19,2023-04-10 11:00:00,rodrinoya.1@gmail.com,htd2
21,32,279,19,2023-04-10 12:00:00,rodrinoya.1@gmail.com,htd2
19,31,311,17,2023-04-10 13:00:00,rodrinoya.1@gmail.com,htd2
19,30,324,17,2023-04-10 14:00:00,rodrinoya.1@gmail.com,htd2
18,30,360,16,2023-04-10 15:00:00,rodrinoya.1@gmail.com,htd2
18,30,372,14,2023-04-10 16:00:00,rodrinoya.1@gmail.com,htd2
17,30,380,15,2023-04-10 17:00:00,rodrinoya.1@gmail.com,htd2
14,28,408,13,2023-04-10 18:00:00,rodrinoya.1@gmail.com,htd2
14,29,76,13,2023-04-10 19:00:00,rodrinoya.1@gmail.com,htd2
13,27,61,10,2023-04-10 20:00:00,rodrinoya.1@gmail.com,htd2
